a,b,country_a,country_b,same_country,n_items,score,items,opposing
Armenian Power,Bloods,United States,United States,True,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Armenian Power,Crips,United States,United States,True,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Armenian Power,Los Negros,United States,Mexico,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Armenian Power,Los Zetas,United States,Mexico,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Armenian Power,Mara Mao Mao,United States,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Armenian Power,Sombra Negra,United States,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Bloods,Mara Mao Mao,United States,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Crips,Logan Heights Gang,United States,United States,True,2,2,"['Latin Kings', 'Mara Salvatrucha']",[]
Crips,Los Negros,United States,Mexico,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Crips,Mara Mao Mao,United States,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Crips,Sombra Negra,United States,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Juárez Cartel,Los Rojos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']",['Cártel de Jalisco Nueva Generación']
Knights Templar Cartel,Logan Heights Gang,Mexico,United States,False,2,2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']",['Cártel de Jalisco Nueva Generación']
Logan Heights Gang,Los Rojos,United States,Mexico,False,2,2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']",[]
Logan Heights Gang,Ñetas,United States,Puerto Rico,False,2,2,"['Latin Kings', 'Mara Salvatrucha']",['Latin Kings']
Los Negros,Mara Mao Mao,Mexico,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Los Rojos,Tijuana Cartel,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']",['Cártel de Jalisco Nueva Generación']
Los Zetas,Mara Mao Mao,Mexico,El Salvador,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",['Mara Salvatrucha']
Los Zetas,Tiny Rascal Gang,Mexico,United States,False,2,2,"['Mara Salvatrucha', 'Mexican Mafia']",['Mara Salvatrucha']
Mara Mao Mao,Norteños,El Salvador,United States,False,2,2,"['18th Street Gang', 'Mara Salvatrucha']",['18th Street Gang']
Mara Mao Mao,Sombra Negra,El Salvador,El Salvador,True,2,2,"['18th Street Gang', 'Mara Salvatrucha']",[]
Armenian Power,The Avenues,United States,,,2,2,"['18th Street Gang', 'Toonerville Rifa 13']",[]
Mara Salvatrucha,The Avenues,United States,,,2,2,"['18th Street Gang', 'Toonerville Rifa 13']",[]
The Avenues,Vineland Boys,,United States,,2,2,"['18th Street Gang', 'Toonerville Rifa 13']",[]
Culver City Boys,Playboys (gang),United States,United States,True,2,2,"['18th Street Gang', 'Venice Shoreline Crips']",[]
Los Zetas,Vineland Boys,Mexico,United States,False,2,2,"['18th Street Gang', 'Mexican Mafia']",[]
Norteños,Sinaloa Cartel,United States,Mexico,False,2,2,"['18th Street Gang', 'Logan Heights Gang']",['18th Street Gang']
Playboys (gang),Santa Monica 13,United States,United States,True,2,2,"['18th Street Gang', 'Venice Shoreline Crips']",[]
Asian Boyz,Norteños,United States,United States,True,2,2,"['Fresno Bulldogs', 'Tiny Rascal Gang']",[]
Menace of Destruction,Mexican Mafia,United States,United States,True,2,2,"['Fresno Bulldogs', 'Tiny Rascal Gang']",[]
Menace of Destruction,Norteños,United States,United States,True,2,2,"['Fresno Bulldogs', 'Tiny Rascal Gang']",[]
Bloods,Fresno Bulldogs,United States,United States,True,2,2,"['Asian Boyz', 'Mexican Mafia']",[]
Barrio Azteca,Crips,United States,United States,True,2,2,"['Mexican Mafia', 'Puro Tango Blast']",[]
Barrio Azteca,Norteños,United States,United States,True,2,2,"['Border Brothers', 'Mexican Mafia']",[]
Barrio Azteca,Texas Syndicate,United States,United States,True,2,2,"['Mexican Mafia', 'Puro Tango Blast']",[]
Hells Angels Motorcycle Club,Mara Salvatrucha,United States,United States,True,2,2,"['Mexican Mafia', 'Zoe Pound']",['Mexican Mafia']
Almighty Saints,Four Corner Hustlers,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
Almighty Vice Lord Nation,La Raza Nation,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
Almighty Vice Lord Nation,Taylor Street Jousters,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Simon City Royals']",[]
Black Disciples,People Nation,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'OutLaw Gangster Disciples']",['Black Gangster Disciples Nation']
Four Corner Hustlers,La Raza Nation,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
Four Corner Hustlers,Mickey Cobras,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
La Raza Nation,Mickey Cobras,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']",[]
La Raza Nation,Taylor Street Jousters,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Latin Kings']",[]
People Nation,Taylor Street Jousters,United States,United States,True,2,2,"['Black Gangster Disciples Nation', 'Simon City Royals']",[]
Cártel del Noreste,Los Rojos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Metros']",[]
Los Ciclones,Los Rojos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Metros']",['Cártel de Jalisco Nueva Generación']
La Nueva Familia Michoacana,Los Negros,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'La Familia Michoacana']",['La Familia Michoacana']
Cárteles Unidos,Los Rojos,Mexico,Mexico,True,2,2,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación']",[]
Artistas Asesinos,Knights Templar Cartel,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']",['Cártel de Jalisco Nueva Generación']
Artistas Asesinos,Los Avendaño,Mexico,,,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Chapitos']",[]
Artistas Asesinos,Los Ciclones,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']",['Cártel de Jalisco Nueva Generación']
Artistas Asesinos,Los Mazatlecos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Chapitos']",[]
Artistas Asesinos,Los Zetas,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']",['Juárez Cartel']
Cártel del Noreste,Los Avendaño,Mexico,,,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Chapitos']",[]
Cárteles Unidos,Pueblos Unidos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Viagras']",['Los Viagras']
Gente Nueva,Guerreros Unidos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Knights Templar Cartel']",['Cártel de Jalisco Nueva Generación']
Guerreros Unidos,Pueblos Unidos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Viagras']",['Cártel de Jalisco Nueva Generación']
Gulf Cartel,Los Ardillos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Cártel de los Rojos']",['Cártel de Jalisco Nueva Generación']
Juárez Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']",['Cártel de Jalisco Nueva Generación']
La Familia Michoacana,Los Ardillos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Cártel de los Rojos']",['Cártel de Jalisco Nueva Generación']
La Mayiza,Los Avendaño,,,,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Chapitos']",[]
La Mayiza,Los Ciclones,,Mexico,,2,2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']",['Cártel de Jalisco Nueva Generación']
La Nueva Familia Michoacana,Los Rojos,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Guerreros Unidos']",[]
Los Ardillos,Los Negros,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Rojos']",[]
Los Avendaño,Los Mazatlecos,,Mexico,,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Chapitos']",[]
Los Avendaño,Tijuana Cartel,,Mexico,,2,2,"['Cártel de Jalisco Nueva Generación', 'Los Chapitos']",['Cártel de Jalisco Nueva Generación']
Los Rojos,Los Viagras,Mexico,Mexico,True,2,2,"['Cártel de Jalisco Nueva Generación', 'Guerreros Unidos']",['Cártel de Jalisco Nueva Generación']
Los Ardillos,Los Metros,Mexico,Mexico,True,2,2,"['Cártel de los Rojos', 'Los Rojos']",[]
Los Chapitos,Los Ciclones,Mexico,Mexico,True,2,2,"['Cártel del Noreste', 'Tijuana Cartel']",[]
Cártel de Colima,Los Ciclones,Mexico,Mexico,True,2,2,"['Juárez Cartel', 'Tijuana Cartel']",[]
Cártel de Colima,Mara Salvatrucha,Mexico,United States,False,2,2,"['Juárez Cartel', 'Tijuana Cartel']",[]
Cártel Independiente de Sonora,Los Mexicles,Mexico,Mexico,True,2,2,"['Juárez Cartel', 'La Línea']",['La Línea']
Cártel Independiente de Sonora,Tijuana Cartel,Mexico,Mexico,True,2,2,"['Juárez Cartel', 'Los Chapitos']",['Juárez Cartel']
Guerreros Unidos,Mara Salvatrucha,Mexico,United States,False,2,2,"['Knights Templar Cartel', 'Los Rojos']",[]
Gente Nueva de Los Salgueiro,La Mayiza,,,,2,2,"['Gente Nueva', 'La Línea']",[]
Almighty Insane Popes Nation,Taylor Street Jousters,United States,United States,True,2,2,"['Latin Kings', 'Satan Disciples']",[]
Almighty Saints,Crips,United States,United States,True,2,2,"['Latin Kings', 'People Nation']",['Latin Kings']
Almighty Saints,Spanish Gangster Disciples,United States,United States,True,2,2,"['Latin Kings', 'Maniac Latin Disciples']",['Latin Kings']
Latin Counts,Taylor Street Jousters,United States,United States,True,2,2,"['Latin Kings', 'Satan Disciples']",[]
Spanish Cobras,Taylor Street Jousters,United States,United States,True,2,2,"['Latin Kings', 'Simon City Royals']",[]
La Familia Michoacana,Tren de Aragua,Mexico,Venezuela,False,2,2,"['Fuerza Anti-Unión', 'La Unión Tepito']",['La Unión Tepito']
Cárteles Unidos,La Barredora,Mexico,Mexico,True,2,2,"['Independent Cartel of Acapulco', 'Los Viagras']",['Los Viagras']
La Barredora,La Familia Michoacana,Mexico,Mexico,True,2,2,"['Independent Cartel of Acapulco', 'Los Viagras']",['Los Viagras']
National Liberation Army (Colombia),Peasant Self-Defenders of Córdoba and Urabá,Colombia,Colombia,True,2,2,"['Popular Liberation Army', 'Revolutionary Armed Forces of Colombia']",['Revolutionary Armed Forces of Colombia']
Black Cobra,Original Gangsters,Denmark,Sweden,False,2,2,"['Bandidos Motorcycle Club', 'X-Team']",[]
Finks Motorcycle Club,Miri clan,Australia,Germany,False,2,2,"['Bandidos Motorcycle Club', 'Mongols MC']",[]
Gremium Motorcycle Club,Original Gangsters,Germany,Sweden,False,2,2,"['Bandidos Motorcycle Club', 'X-Team']",[]
Miri clan,Vagos Motorcycle Club,Germany,United States,False,2,2,"['Bandidos Motorcycle Club', 'Mongols MC']",[]
AK81,X-Team,Denmark,Denmark,True,2,2,"['Black Cobra', 'Black Jackets']",[]
Coffin Cheaters,Mongols MC,Australia,United States,False,2,2,"['Finks Motorcycle Club', 'Mongrel Mob']",[]
Bunnikside,Midden Noord,,,,2,2,"['A.F.C.A', 'F-side']",[]
Al-Nusra Front,Grey Wolves,Syria,Turkey,False,2,2,"['Islamic State', ""Kurdistan Workers' Party""]",['Islamic State']
Al-Qaeda,Asa'ib Ahl al-Haq,Saudi Arabia,,,2,2,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Al-Qaeda,Grey Wolves,Saudi Arabia,Turkey,False,2,2,"['Islamic State', ""Kurdistan Workers' Party""]",['Islamic State']
Al-Qaeda,Harakat Hezbollah al-Nujaba,Saudi Arabia,,,2,2,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Al-Qaeda,Kata'ib Hezbollah,Saudi Arabia,,,2,2,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Al-Qaeda,Kata'ib Sayyid al-Shuhada,Saudi Arabia,,,2,2,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Al-Qaeda,Liwa Fatemiyoun,Saudi Arabia,,,2,2,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Al-Qaeda,Liwa Zainebiyoun,Saudi Arabia,,,2,2,"['Al-Nusra Front', 'Islamic State']",['Islamic State']
Amal Movement,Hamas,,Palestine,,2,2,"['Hezbollah', 'Islamic State']",['Hezbollah']
Asa'ib Ahl al-Haq,Kata'ib Hezbollah,,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Kurdistan Workers' Party,,Turkey,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Asa'ib Ahl al-Haq,Wagner Group,,Russia,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Kata'ib Hezbollah,,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Kurdistan Workers' Party,,Turkey,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Harakat Hezbollah al-Nujaba,Wagner Group,,Russia,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Hezbollah,Kata'ib Hezbollah,Lebanon,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Hezbollah,Kata'ib Sayyid al-Shuhada,,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Hezbollah,Kurdistan Workers' Party,,Turkey,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Hezbollah,Liwa Fatemiyoun,,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Hezbollah,Liwa Zainebiyoun,,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Hezbollah,Tahrir al-Sham,,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Hezbollah,Wagner Group,,Russia,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Sayyid al-Shuhada,Kurdistan Workers' Party,,Turkey,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kata'ib Sayyid al-Shuhada,Wagner Group,,Russia,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kurdistan Workers' Party,Liwa Fatemiyoun,Turkey,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Kurdistan Workers' Party,Liwa Zainebiyoun,Turkey,,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Liwa Fatemiyoun,Wagner Group,,Russia,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Liwa Zainebiyoun,Wagner Group,,Russia,,2,2,"['Al-Nusra Front', 'Islamic State']",[]
Islamic State,Kurdish Hezbollah,Iraq,,,2,2,"['Grey Wolves', ""Kurdistan Workers' Party""]",[]
Almighty Black P. Stone Nation,Almighty Gaylords Nation,United States,United States,True,2,2,"['Almighty Insane Popes Nation', 'Maniac Latin Disciples']",[]
Almighty Black P. Stone Nation,Spanish Cobras,United States,United States,True,2,2,"['Almighty Insane Popes Nation', 'Maniac Latin Disciples']",[]
Gangster Two Six,Insane Deuces,,,,2,2,"['Almighty Insane Popes Nation', 'Latin Counts']",[]
Gangster Two Six,People Nation,,United States,,2,2,"['Almighty Insane Popes Nation', 'Almighty Saints']",[]
Insane Deuces,People Nation,,United States,,2,2,"['Almighty Insane Popes Nation', 'Simon City Royals']",[]
Insane Deuces,Satan Disciples,,,,2,2,"['Almighty Insane Popes Nation', 'Latin Counts']",[]
Insane Deuces,Spanish Cobras,,United States,,2,2,"['Almighty Insane Popes Nation', 'Simon City Royals']",[]
People Nation,Satan Disciples,United States,,,2,2,"['Almighty Insane Popes Nation', 'Almighty Saints']",[]
Almighty Black P. Stone Nation,Latin Counts,United States,United States,True,2,2,"['La Raza Nation', 'Maniac Latin Disciples']",[]
Almighty Gaylords Nation,Insane Unknown Kings,United States,,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",['Simon City Royals']
Almighty Gaylords Nation,Latin Counts,United States,United States,True,2,2,"['Insane Deuces', 'Maniac Latin Disciples']",[]
Almighty Gaylords Nation,PR Stones,United States,,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",['Simon City Royals']
Almighty Gaylords Nation,Spanish Gangster Disciples,United States,United States,True,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",['Simon City Royals']
Almighty Vice Lord Nation,Insane Unknown Kings,United States,,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",[]
Almighty Vice Lord Nation,PR Stones,United States,,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",[]
Almighty Vice Lord Nation,Spanish Gangster Disciples,United States,United States,True,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",['Simon City Royals']
Ambrose,Harrison Gents,,,,2,2,"['Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Ambrose,La Raza Nation,,United States,,2,2,"['Latin Counts', 'Maniac Latin Disciples']",[]
Ambrose,PR Stones,,,,2,2,"['Maniac Latin Disciples', 'Spanish Gangster Disciples']",[]
Ambrose,Spanish Cobras,,United States,,2,2,"['Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Harrison Gents,Latin Counts,,United States,,2,2,"['Maniac Latin Disciples', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Insane Unknown Kings,Latin Kings,,United States,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",[]
Insane Unknown Kings,PR Stones,,,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",[]
Insane Unknown Kings,Spanish Cobras,,United States,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",[]
Insane Unknown Kings,Spanish Gangster Disciples,,United States,,2,2,"['Maniac Latin Disciples', 'Simon City Royals']",['Simon City Royals']
Latin Counts,PR Stones,United States,,,2,2,"['Maniac Latin Disciples', 'Spanish Gangster Disciples']",[]
Mickey Cobras,Simon City Royals,United States,United States,True,2,2,"['Almighty Vice Lord Nation', 'Maniac Latin Disciples']",['Almighty Vice Lord Nation']
Black Gangster Disciples Nation,Harrison Gents,United States,,,2,2,"['Latin Eagles', 'Taylor Street Jousters']",['Latin Eagles']
PR Stones,People Nation,,United States,,2,2,"['Latin Eagles', 'Simon City Royals']",[]
Black Gangster Disciples Nation,Satan Disciples,United States,,,2,2,"['Almighty Saints', 'Taylor Street Jousters']",[]
Gangster Two Six,La Raza Nation,,United States,,2,2,"['Almighty Saints', 'Latin Counts']",[]
Gangster Two Six,Maniac Latin Disciples,,United States,,2,2,"['Almighty Saints', 'Latin Counts']",[]
La Raza Nation,Satan Disciples,United States,,,2,2,"['Almighty Saints', 'Latin Counts']",[]
Maniac Latin Disciples,Satan Disciples,United States,,,2,2,"['Almighty Saints', 'Latin Counts']",[]
Imperial Gangsters,Insane Deuces,,,,2,2,"['Latin Counts', 'Simon City Royals']",[]
Imperial Gangsters,PR Stones,,,,2,2,"['Simon City Royals', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Imperial Gangsters,Spanish Cobras,,United States,,2,2,"['Simon City Royals', 'Spanish Gangster Disciples']",['Spanish Gangster Disciples']
Insane Deuces,Spanish Gangster Disciples,,United States,,2,2,"['Latin Counts', 'Simon City Royals']",['Simon City Royals']
Batavia Street Gang,Whyos,United States,United States,True,2,2,"['Cherry Hill Gang', 'Five Points Gang']",[]
Família do Norte,Okaida,Brazil,,,2,2,"['Comando Vermelho', 'Primeiro Comando da Capital']",['Comando Vermelho']
Okaida,Sindicato do Crime do Rio Grande do Norte,,Brazil,,2,2,"['Comando Vermelho', 'Primeiro Comando da Capital']",[]
Los Guanos,Los Rusos,,,,2,2,"['Los Chapitos', 'Los Ninis']",['Los Chapitos']
Birger Gang,Charles Birger gang,,,,2,2,"['Ku Klux Klan', 'Shelton Brothers Gang']",['Shelton Brothers Gang']
Dojin-kai,Kyokuryū-kai,Japan,Japan,True,2,2,"['Toa-kai', 'Yamaguchi-gumi']",[]
Ejército Revolucionario Popular Antisubversivo de Colombia,Tren de Aragua,Colombia,Venezuela,False,2,2,"['Clan del Golfo', 'National Liberation Army (Colombia)']",['Clan del Golfo']
Cherry Hill Gang,Five Points Gang,United States,United States,True,2,2,"['Batavia Street Gang', 'Whyos']",[]
Kelly Park Compton Crips,Santana Blocc Compton Crips,United States,,,2,2,"['Elm Street Piru', 'Mob Piru']",[]
Lueders Park Piru,Santana Blocc Compton Crips,United States,,,2,2,"['Mob Piru', 'South Side Compton Crips']",['Mob Piru']
Fallowfield Mandem,Longsight Street Soldiers,,,,2,2,"['Doddington gang', 'Longsight Crew']",[]
Fallowfield Mandem,Pit Bull Crew,,,,2,2,"['Doddington gang', 'Longsight Crew']",[]
Longsight Street Soldiers,Pit Bull Crew,,,,2,2,"['Doddington gang', 'Longsight Crew']",[]
Dirty Dozen Motorcycle Club,Seven Immortals,United States,,,2,2,"['Savage Nomads', 'Savage Skulls']",[]
Grim Reapers Motorcycle Club (Canada),Warlocks Motorcycle Club (Florida),Canada,United States,False,2,2,"['Kings Crew Motorcycle Club', 'Rebels Motorcycle Club (Canada)']",[]
