id;dia_semana;horario;mortos
36727;Sexta;18:30:00;0
83425846;Sexta;01:30:00;0
83425850;Sexta;01:00:00;0
83425852;Sexta;01:45:00;0
83425853;Sexta;02:00:00;0
83425855;Sexta;02:20:00;0
83425856;Sexta;01:10:00;0
83425858;Sexta;02:10:00;0
83425860;Sexta;01:45:00;0
83425861;Sexta;02:30:00;0
83425862;Sexta;02:15:00;0
83425864;Sexta;01:20:00;0
83425866;Sexta;04:40:00;0
83425867;Sexta;02:00:00;0
83425868;Sexta;03:50:00;0
83425871;Sexta;04:00:00;0
83425873;Sexta;01:00:00;0
83425875;Sexta;01:00:00;0
83425876;Sexta;05:00:00;0
83425877;Sexta;05:00:00;0
83425878;Sexta;04:00:00;0
83425882;Sexta;06:00:00;0
83425883;Sexta;05:45:00;0
83425890;Sexta;06:30:00;0
83425892;Sexta;06:30:00;0
83425893;Sexta;05:00:00;0
83425894;Sexta;05:30:00;0
83425897;Sexta;03:30:00;1
83425898;Sexta;07:00:00;0
83425901;Sexta;07:00:00;0
83425902;Sexta;07:30:00;0
83425907;Sexta;08:00:00;0
83425917;Sexta;05:30:00;0
83425918;Sexta;08:30:00;0
83425920;Sexta;07:45:00;0
83425923;Sexta;08:10:00;0
83425925;Sexta;04:30:00;1
83425927;Sexta;07:40:00;0
83425928;Sexta;09:30:00;0
83425930;Sexta;07:15:00;0
83425934;Sexta;07:30:00;0
83425936;Sexta;08:30:00;0
83425938;Sexta;07:20:00;0
83425939;Sexta;11:00:00;0
83425942;Sexta;06:54:00;0
83425943;Sexta;08:00:00;0
83425944;Sexta;04:30:00;0
83425945;Sexta;07:35:00;0
83425946;Sexta;09:55:00;0
83425947;Sexta;08:20:00;0
83425950;Sexta;03:15:00;0
83425951;Sexta;08:15:00;0
83425952;Sexta;06:25:00;1
83425953;Sexta;06:30:00;1
83425954;Sexta;11:30:00;0
83425955;Sexta;09:20:00;0
83425956;Sexta;03:45:00;0
83425959;Sexta;12:50:00;0
83425960;Sexta;05:40:00;0
83425962;Sexta;12:45:00;0
83425963;Sexta;10:45:00;0
83425965;Sexta;08:35:00;0
83425967;Sexta;12:30:00;0
83425970;Sexta;07:45:00;0
83425975;Sexta;08:15:00;0
83425976;Sexta;08:20:00;0
83425977;Sexta;13:10:00;0
83425979;Sexta;11:00:00;0
83425982;Sexta;07:30:00;0
83425983;Sexta;12:45:00;0
83425987;Sexta;12:20:00;0
83425988;Sexta;13:00:00;0
83425989;Sexta;14:00:00;0
83425990;Sexta;14:30:00;0
