a,b,country_a,country_b,same_country,n_items,items,opposing
'Ndrina Piromalli,Basilischi,Italy,Italy,True,3,"[""'Ndrina Mammoliti"", ""'Ndrina Pesce"", ""'Ndrina Serraino""]","[""'Ndrina Mammoliti""]"
'Ndrina Piromalli,Gulf Cartel,Italy,Mexico,False,3,"[""'Ndrina Pesce"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
'Ndrina Serraino,Aquino 'ndrina,Italy,Italy,True,3,"[""'Ndrina Alvaro"", ""'Ndrina Pesce"", ""'Ndrina Piromalli""]",[]
'Ndrina Romeo,'Ndrina Strangio,Italy,Italy,True,3,"[""'Ndrina Giorgi"", ""'Ndrina La Maggiore"", ""'Ndrina Mammoliti""]",[]
'Ndrina Imerti,'Ndrina Pesce,Italy,Italy,True,3,"[""'Ndrina Alvaro"", ""'Ndrina Gallico"", ""'Ndrina Serraino""]",[]
Boko Haram,Taliban,Nigeria,Afghanistan,False,3,"['Al-Qaeda', 'Al-Shabaab', 'Islamic State']",['Islamic State']
'Ndrina Alvaro,'Ndrina Mandalari,Italy,Italy,True,3,"[""'Ndrina Molè"", ""'Ndrina Palamara"", ""Commisso 'ndrina""]",[]
'Ndrina Alvaro,'Ndrina Morabito,Italy,Italy,True,3,"[""'Ndrina Lo Presti"", ""'Ndrina Palamara"", ""Aquino 'ndrina""]",[]
Al-Shabaab,Ansaru,Somalia,,,3,"['Al-Qaeda', 'Al-Qaeda in the Islamic Maghreb', 'Boko Haram']",[]
Al-Shabaab,Lashkar-e-Taiba,Somalia,Pakistan,False,3,"['Al-Qaeda', 'Al-Qaeda in the Arabian Peninsula', 'Taliban']",[]
Haqqani network,Lashkar-e-Taiba,,Pakistan,,3,"['Al-Qaeda', 'Islamic State – Khorasan Province', 'Taliban']",[]
Harkat-ul-Jihad al-Islami,Taliban,,Afghanistan,,3,"['Al-Qaeda', 'Lashkar-e-Taiba', 'Tehreek-e-Taliban Pakistan']",['Tehreek-e-Taliban Pakistan']
Tehreek-e-Taliban Pakistan,Turkistan Islamic Party,Pakistan,,,3,"['Al-Nusra Front', 'Al-Qaeda', 'Taliban']",['Taliban']
Cartel del Norte del Valle,Martinez Familia Sangeros,Colombia,Puerto Rico,False,3,"['Cali Cartel', 'Guadalajara Cartel', 'Los Pepes']",['Cali Cartel']
DeCavalcante crime family,Winter Hill Gang,United States,United States,True,3,"['Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Patriarca crime family']
Detroit Partnership,Winter Hill Gang,United States,United States,True,3,"['Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Patriarca crime family']
Pittsburgh crime family,San Francisco crime family,United States,United States,True,3,"['Chicago Outfit', 'Detroit Partnership', 'San Jose crime family']",[]
Bufalino crime family,Lucchese crime family,United States,United States,True,3,"['Buffalo crime family', 'Genovese crime family', 'Philadelphia crime family']",['Genovese crime family']
Bufalino crime family,Pagan's Motorcycle Club,United States,United States,True,3,"['Genovese crime family', 'Philadelphia crime family', 'Pittsburgh crime family']",['Genovese crime family']
Bufalino crime family,Trafficante crime family,United States,United States,True,3,"['Detroit Partnership', 'Genovese crime family', 'Pittsburgh crime family']",['Genovese crime family']
Buffalo crime family,Dallas crime family,United States,United States,True,3,"['Chicago Outfit', 'Genovese crime family', 'New Orleans crime family']",['Chicago Outfit']
Buffalo crime family,East Harlem Purple Gang,United States,United States,True,3,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
Buffalo crime family,Lucchese crime family Brooklyn faction,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family']",['Bonanno crime family']
Buffalo crime family,Lucchese crime family New Jersey faction,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family']",['Bonanno crime family']
Chicago Outfit,East Harlem Purple Gang,United States,United States,True,3,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
Chicago Outfit,Lucchese crime family New Jersey faction,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family']",[]
Dallas crime family,Lucchese crime family,United States,United States,True,3,"['Chicago Outfit', 'Genovese crime family', 'Trafficante crime family']",['Genovese crime family']
Dallas crime family,Outlaws Motorcycle Club,United States,United States,True,3,"['Chicago Outfit', 'Genovese crime family', 'New Orleans crime family']",[]
DeCavalcante crime family,East Harlem Purple Gang,United States,United States,True,3,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
East Harlem Purple Gang,Trafficante crime family,United States,United States,True,3,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
Lucchese crime family,Outlaws Motorcycle Club,United States,United States,True,3,"['Buffalo crime family', 'Chicago Outfit', 'Genovese crime family']",['Genovese crime family']
Outlaws Motorcycle Club,Patriarca crime family,United States,United States,True,3,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family']",[]
'Ndrina Cataldo,'Ndrina Costa,Italy,Italy,True,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
'Ndrina Cataldo,'Ndrina Ursino,Italy,Italy,True,3,"[""'Ndrina Cordì"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]","[""'Ndrina Cordì""]"
'Ndrina Cordì,'Ndrina Lo Presti,Italy,Italy,True,3,"[""'Ndrina Cataldo"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]","[""'Ndrina Cataldo""]"
'Ndrina Costa,'Ndrina Lo Presti,Italy,Italy,True,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
'Ndrina Lo Presti,Gulf Cartel,Italy,Mexico,False,3,"[""'Ndrina Ierinò"", ""Aquino 'ndrina"", ""Commisso 'ndrina""]",[]
Chicago Outfit,Rochester crime family,United States,United States,True,3,"['Bonanno crime family', 'Buffalo crime family', 'Pittsburgh crime family']",['Buffalo crime family']
Detroit Partnership,Rochester crime family,United States,United States,True,3,"['Bonanno crime family', 'Buffalo crime family', 'Pittsburgh crime family']",['Buffalo crime family']
Cleveland crime family,San Francisco crime family,United States,United States,True,3,"['Chicago Outfit', 'Detroit Partnership', 'Los Angeles crime family']",[]
Colombo crime family,Colorado crime family,United States,United States,True,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",['Bonanno crime family']
Colombo crime family,San Jose crime family,United States,United States,True,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",['Bonanno crime family']
Colorado crime family,Patriarca crime family,United States,United States,True,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",[]
Colorado crime family,San Francisco crime family,United States,United States,True,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",[]
Colorado crime family,San Jose crime family,United States,United States,True,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",[]
Kansas City crime family,San Francisco crime family,United States,United States,True,3,"['Chicago Outfit', 'Dallas crime family', 'Los Angeles crime family']",[]
New Orleans crime family,San Jose crime family,United States,United States,True,3,"['Chicago Outfit', 'Dallas crime family', 'Los Angeles crime family']",['Chicago Outfit']
Hamas,Islamic Revolutionary Guard Corps,Palestine,,,3,"['Hezbollah', 'Houthis', 'Wagner Group']",['Hezbollah']
Popular Front for the Liberation of Palestine,Sinaloa Cartel,Palestine,Mexico,False,3,"['Hamas', 'Hezbollah', 'Revolutionary Armed Forces of Colombia']",[]
18th Street Gang,Cartel del Norte del Valle,United States,Colombia,False,3,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Tijuana Cartel']",[]
Independent Cartel of Acapulco,Los Zetas,Mexico,Mexico,True,3,"['Beltrán-Leyva Organization', 'Guerreros Unidos', 'Milenio Cartel']",['Milenio Cartel']
'Ndrina Bellocco,Commisso 'ndrina,Italy,Italy,True,3,"[""'Ndrina Molè"", ""'Ndrina Piromalli"", ""Aquino 'ndrina""]","[""'Ndrina Piromalli""]"
116th Street Crew,Buffalo crime family,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Lucchese crime family']",['Bonanno crime family']
Buffalo crime family,Greenwich Village Crew,United States,United States,True,3,"['Bonanno crime family', 'Colombo crime family', 'Lucchese crime family']",['Bonanno crime family']
Colorado crime family,Trafficante crime family,United States,United States,True,3,"['Bonanno crime family', 'Chicago Outfit', 'New Orleans crime family']",[]
'Ndrina Barbaro,'Ndrina Grande Aracri,Italy,Italy,True,3,"[""'Ndrina Arena"", ""'Ndrina Nicoscia"", ""'Ndrina Pelle""]","[""'Ndrina Arena""]"
'Ndrina Cataldo,'Ndrina Papalia,Italy,Italy,True,3,"[""'Ndrina Barbaro"", ""'Ndrina Marando"", ""Sergi 'ndrina""]",[]
'Ndrina Cataldo,Trimboli 'ndrina,Italy,Italy,True,3,"[""'Ndrina Barbaro"", ""'Ndrina Marando"", ""Sergi 'ndrina""]",[]
'Ndrina Arena,'Ndrina Bubbo,Italy,Italy,True,3,"[""'Ndrina Barbaro"", ""'Ndrina Nicoscia"", ""'Ndrina Paparo""]","[""'Ndrina Nicoscia""]"
