a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Bloods,Genovese crime family,United States,United States,True,2,"['Gambino crime family', 'Latin Kings']",1,['Bonanno crime family']
Clan Fabbrocino,Sicilian Mafia,Italy,Italy,True,2,"[""'Ndrangheta"", 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
La Nueva Familia Michoacana,Los Rojos,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Guerreros Unidos']"
Almighty Black P. Stone Nation,Latin Counts,United States,United States,True,1,['Almighty Vice Lord Nation'],2,"['La Raza Nation', 'Maniac Latin Disciples']"
Cali Cartel,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,"['Sinaloa Cartel', 'Tijuana Cartel']",1,['Cartel de Medellín']
Grupo Flechas,Los Mazatlecos,Mexico,Mexico,True,2,"['La Mayiza', 'Los Zetas']",1,['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,Rockers Motor Club,Australia,Canada,False,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']"
La Nueva Familia Michoacana,Mara Salvatrucha,Mexico,United States,False,2,"['La Familia Michoacana', 'Sinaloa Cartel']",1,['Knights Templar Cartel']
18th Street Gang,White Fence,United States,United States,True,1,['Mexican Mafia'],2,"['Armenian Power', 'Norteños']"
Cártel de Jalisco Nueva Generación,Los Ántrax,Mexico,Mexico,True,1,['Los Chapitos'],2,"['Los Mazatlecos', 'Los Zetas']"
Clan Fabbrocino,Clan Galasso di Poggiomarino,Italy,Italy,True,2,"['Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Almighty Vice Lord Nation,Taylor Street Jousters,United States,United States,True,1,['Almighty Gaylords Nation'],2,"['Black Gangster Disciples Nation', 'Simon City Royals']"
Houthis,Palestinian Islamic Jihad,Yemen,Palestine,False,2,"['Hamas', 'Hezbollah']",1,['Islamic State']
856 Gang,Wolfpack Alliance,Canada,Canada,True,2,"['Hells Angels Motorcycle Club', 'Red Scorpions']",1,['United Nations (gang)']
La Línea,South Pacific Cartel,Mexico,Mexico,True,2,"['Beltrán-Leyva Organization', 'Los Zetas']",1,['Sinaloa Cartel']
18th Street Gang,Guadalajara Cartel,United States,Mexico,False,2,"['Juárez Cartel', 'Tijuana Cartel']",1,['Gulf Cartel']
Clan Licciardi,Vollaro clan,Italy,Italy,True,2,"[""'Ndrina Giuliano"", 'Clan Nuvoletta']",1,['Clan Mazzarella']
Diablos Motorcycle Club,New Zealand Nomads,United States,New Zealand,False,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",1,['Hells Angels Motorcycle Club']
Aryan Brotherhood,Loners Motorcycle Club,United States,Canada,False,2,"['American Mafia', 'Hells Angels Motorcycle Club']",1,['Hells Angels Motorcycle Club']
Nazi Lowriders,Tijuana Cartel,United States,Mexico,False,2,"['Mexican Mafia', 'Mongols MC']",1,['Mara Salvatrucha']
Los Rojos,Los Viagras,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Guerreros Unidos']"
Al-Shabaab,Hezbollah,Somalia,Lebanon,False,2,"['Al-Qaeda', 'Houthis']",1,['Islamic State']
Black Gangster Disciples Nation,Black Guerrilla Family,United States,United States,True,2,"['Black Disciples', 'Crips']",1,['Sex Money Murder']
18th Street Gang,Barrio Azteca,United States,United States,True,2,"['Beltrán-Leyva Organization', 'Juárez Cartel']",1,['Sinaloa Cartel']
Cártel de Caborca,Los Negros,Mexico,Mexico,True,1,['Juárez Cartel'],2,"['Gulf Cartel', 'Sinaloa Cartel']"
Bonanno crime family,Nazi Lowriders,United States,United States,True,2,"['Gambino crime family', 'Philadelphia crime family']",1,['Bloods']
Barrio Azteca,South Pacific Cartel,United States,Mexico,False,2,"['Beltrán-Leyva Organization', 'Los Zetas']",1,['Sinaloa Cartel']
Cártel de Caborca,La Unión Tepito,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'Tijuana Cartel']",1,['Sinaloa Cartel']
Elm Street Piru,Lueders Park Piru,United States,United States,True,1,['Mob Piru'],2,"['Kelly Park Compton Crips', 'South Side Compton Crips']"
Red Devils Motorcycle Club,Rockers Motor Club,Sweden,Canada,False,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']"
Norteños,Zoe Pound,United States,United States,True,2,"['Bloods', 'Crips']",1,['Mara Salvatrucha']
Logan Heights Gang,Los Rojos,United States,Mexico,False,1,['Mexican Mafia'],2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']"
Aryan Brotherhood,Mexikanemi,United States,United States,True,1,['Mexican Mafia'],2,"['Nuestra Familia', 'Texas Syndicate']"
Bandidos Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],2,"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']"
Mexican Mafia,Sex Money Murder,United States,United States,True,1,['Mara Salvatrucha'],2,"['Black Guerrilla Family', 'Crips']"
Cárteles Unidos,La Barredora,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Independent Cartel of Acapulco', 'Los Viagras']"
Catania Mafia family,Sicilian Mafia,Italy,Italy,True,2,"['Camorra', 'Corleonesi']",1,['Clan Cappello']
18th Street Gang,OVS,United States,United States,True,1,['Mexican Mafia'],2,"['Bloods', 'Crips']"
'Ndrina Bellocco,Società foggiana,Italy,Italy,True,2,"['Clan dei Casalesi', 'Sacra Corona Unita']",1,['Camorra']
Chicanos Motorcycle Club,Diablos Motorcycle Club,Germany,United States,False,1,['Bandidos Motorcycle Club'],2,"['Cossacks Motorcycle Club', 'Hells Angels Motorcycle Club']"
Almighty Vice Lord Nation,Spanish Gangster Disciples,United States,United States,True,1,['Latin Kings'],2,"['Maniac Latin Disciples', 'Simon City Royals']"
Clan Mazzarella,Lo Russo clan,Italy,Italy,True,1,['Clan Di Lauro'],2,"['Clan Licciardi', 'Secondigliano Alliance']"
Latin Kings,Los Choneros,United States,Ecuador,False,1,['Sinaloa Cartel'],2,"['Los Chone Killers', 'Los Lobos']"
'Ndrina Violi,Cotroni crime family,Italy,Canada,False,2,"['Bonanno crime family', 'Luppino crime family']",1,['Rizzuto crime family']
Chiapas–Guatemala Cartel,Juárez Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['La Mayiza', 'Sinaloa Cartel']"
Boko Haram,Houthis,Nigeria,Yemen,False,2,"['Al-Qaeda', 'Al-Shabaab']",1,['Islamic State']
Independent Soldiers,Manitoba Warriors,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'White Boy Posse']"
Los Ardillos,Tijuana Cartel,Mexico,Mexico,True,2,"['Beltrán-Leyva Organization', 'Guerreros Unidos']",1,['Cártel de Jalisco Nueva Generación']
Red Scorpions,White Boy Posse,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],2,"['Independent Soldiers', 'Redd Alert']"
18th Street Gang,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],2,"['Crips', 'Mara Salvatrucha']"
Crips,Vineland Boys,United States,United States,True,1,['Sinaloa Cartel'],2,"['18th Street Gang', 'Mexican Mafia']"
Guadalajara Cartel,Los Negros,Mexico,Mexico,True,2,"['Juárez Cartel', 'Sinaloa Cartel']",1,['Gulf Cartel']
Barrio Azteca,Mexikanemi,United States,United States,True,2,"['Juárez Cartel', 'Los Zetas']",1,['Puro Tango Blast']
Philadelphia crime family,Vagos Motorcycle Club,United States,United States,True,2,"['Aryan Brotherhood', 'Nazi Lowriders']",1,['Hells Angels Motorcycle Club']
Loners Motorcycle Club,New Zealand Nomads,Canada,New Zealand,False,2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",1,['Hells Angels Motorcycle Club']
Juárez Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Annihilators Motorcycle Club,Bandidos Motorcycle Club,Canada,United States,False,2,"['Loners Motorcycle Club', 'Outlaws Motorcycle Club']",1,['Hells Angels Motorcycle Club']
'Ndrina Mammoliti,'Ndrina Morabito,Italy,Italy,True,2,"[""'Ndrina Mazzaferro"", 'Basilischi']",1,"[""'Ndrina Piromalli""]"
American Guards,O'Connell Guards,,,,2,"['Atlantic Guards', 'Bowery Boys']",1,['Dead Rabbits']
Los Metros,Milenio Cartel,Mexico,Mexico,True,1,['Los Zetas'],2,"['Gulf Cartel', 'Los Zetas']"
Los Paisas,Popular Liberation Army,Colombia,Colombia,True,2,"['Los Rastrojos', 'Revolutionary Armed Forces of Colombia']",1,['Clan del Golfo']
Barrio Azteca,Tren de Aragua,United States,Venezuela,False,2,"['La Empresa', 'La Línea']",1,['Sinaloa Cartel']
Playboys (gang),Temple Street gang,United States,United States,True,2,"['Mara Salvatrucha', 'Mexican Mafia']",1,['18th Street Gang']
Los Mazatlecos,Los Metros,Mexico,Mexico,True,1,['Los Zetas'],2,"['Gulf Cartel', 'Sinaloa Cartel']"
'Ndrina Piromalli,Secondigliano Alliance,Italy,Italy,True,2,"['Clan dei Casamonica', ""Commisso 'ndrina""]",1,"[""'Ndrina Giuliano""]"
Mara Salvatrucha,Nuestra Familia,United States,United States,True,1,['Cártel de Jalisco Nueva Generación'],2,"['Mexican Mafia', 'Nazi Lowriders']"
Gulf Cartel,Los Choneros,Mexico,Ecuador,False,2,"[""'Ndrangheta"", 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
Annihilators Motorcycle Club,Rock Machine Motorcycle Club,Canada,Canada,True,2,"['Loners Motorcycle Club', 'Outlaws Motorcycle Club']",1,['Hells Angels Motorcycle Club']
Juárez Cartel,Los Ardillos,Mexico,Mexico,True,2,"['Beltrán-Leyva Organization', 'Guerreros Unidos']",1,['Cártel de Jalisco Nueva Generación']
Beltrán-Leyva Organization,Tren de Aragua,Mexico,Venezuela,False,2,"['Cártel de Jalisco Nueva Generación', 'La Línea']",1,['Sinaloa Cartel']
Los Ardillos,Los Zetas,Mexico,Mexico,True,2,"['Beltrán-Leyva Organization', 'Guerreros Unidos']",1,['Cártel de Jalisco Nueva Generación']
Mallardo clan,Rinaldi clan,Italy,Italy,True,2,"['Contini clan', 'Secondigliano Alliance']",1,['Clan Mazzarella']
Outlaws Motorcycle Club,Rebels Motorcycle Club,United States,Australia,False,1,['Gypsy Joker Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Bonanno crime family,Commisso 'ndrina,United States,Italy,False,2,"['Buffalo crime family', 'Cotroni crime family']",1,['Rizzuto crime family']
Cártel de Colima,Los Mexicles,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",1,['Juárez Cartel']
Fallowfield Mandem,Pit Bull Crew,,,,1,['Gooch Close Gang'],2,"['Doddington gang', 'Longsight Crew']"
856 Gang,Bacon Brothers,Canada,Canada,True,2,"['Hells Angels Motorcycle Club', 'Red Scorpions']",1,['United Nations (gang)']
American Mafia,Nuova camorra pugliese,United States,Italy,False,2,"[""'Ndrangheta"", 'Sacra Corona Unita']",1,['Nuova Camorra Organizzata']
Comanchero Motorcycle Club,Red Devils Motorcycle Club,Australia,Sweden,False,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Rock Machine Motorcycle Club']"
Mongols MC,New Zealand Nomads,United States,New Zealand,False,1,['Hells Angels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'Mongrel Mob']"
Cártel de los Rojos,South Pacific Cartel,Mexico,Mexico,True,1,['Los Zetas'],2,"['Guerreros Unidos', 'Gulf Cartel']"
Manitoba Warriors,Red Scorpions,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'Redd Alert']"
Juárez Cartel,Los Rojos,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']"
Armenian Power,Crips,United States,United States,True,1,['American Mafia'],2,"['18th Street Gang', 'Mara Salvatrucha']"
'Ndrina Fontana,'Ndrina Saraceno,,,,2,"[""'Ndrina Condello"", ""'Ndrina Imerti""]",1,"[""'Ndrina Barreca""]"
Almighty Black P. Stone Nation,Venice 13,United States,United States,True,1,['PlayBoys Gangster Crips'],2,"['18th Street Gang', 'Crips']"
Barrio Azteca,Los Chapitos,United States,Mexico,False,2,"['Juárez Cartel', 'La Línea']",1,['Artistas Asesinos']
People Nation,Taylor Street Jousters,United States,United States,True,1,['Almighty Gaylords Nation'],2,"['Black Gangster Disciples Nation', 'Simon City Royals']"
'Ndrina Saraceno,'Ndrina Serraino,,Italy,,2,"[""'Ndrina Condello"", ""'Ndrina Imerti""]",1,"[""'Ndrina Barreca""]"
La Familia Michoacana,Logan Heights Gang,Mexico,United States,False,2,"['18th Street Gang', 'Tijuana Cartel']",1,['Cártel de Jalisco Nueva Generación']
Clan Gionta,Clan Lubrano-Ligato,Italy,Italy,True,2,"['Clan Nuvoletta', 'Corleonesi']",1,['Clan dei Casalesi']
O'Connell Guards,True Blue Americans,,,,2,"['Atlantic Guards', 'Bowery Boys']",1,['Dead Rabbits']
Chiapas–Guatemala Cartel,La Línea,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['La Mayiza', 'Sinaloa Cartel']"
'Ndrina Cerra-Torcasio-Gualtieri,'Ndrina Torcasio,,Italy,,1,"[""'Ndrina Strangio""]",2,"[""'Ndrina Giampà"", ""'Ndrina Iannazzo""]"
Latin Kings,Nazi Lowriders,United States,United States,True,1,['Gambino crime family'],2,"['Crips', 'Mara Salvatrucha']"
'Ndrina Fontana,'Ndrina Rosmini,,Italy,,2,"[""'Ndrina Condello"", ""'Ndrina Imerti""]",1,"[""'Ndrina Barreca""]"
Amal Movement,Hamas,,Palestine,,1,['Hezbollah'],2,"['Hezbollah', 'Islamic State']"
Luppino crime family,Papalia crime family,Canada,Canada,True,1,['Buffalo crime family'],2,"['Musitano crime family', 'Rizzuto crime family']"
Asian Boyz,Norteños,United States,United States,True,1,['Crips'],2,"['Fresno Bulldogs', 'Tiny Rascal Gang']"
Philadelphia crime family,Velentzas Organization,United States,United States,True,2,"['Lucchese crime family', 'Philadelphia Greek Mob']",1,['Gambino crime family']
Clan Galasso di Poggiomarino,Clan Licciardi,Italy,Italy,True,2,"['Clan Nuvoletta', 'Moccia clan']",1,['Alfieri clan']
Almighty Saints,Four Corner Hustlers,United States,United States,True,1,['Latin Kings'],2,"['Black Gangster Disciples Nation', 'Maniac Latin Disciples']"
18th Street Gang,South Pacific Cartel,United States,Mexico,False,1,['Beltrán-Leyva Organization'],2,"['Gulf Cartel', 'Sinaloa Cartel']"
Crips,Mongols MC,United States,United States,True,2,"['Norteños', 'Nuestra Familia']",1,['Mexican Mafia']
Black Cobra,Rock Machine Motorcycle Club,Denmark,Canada,False,1,['Black Jackets'],2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Los Zetas,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Almighty Black P. Stone Nation,Trinitarios,United States,United States,True,1,['Bloods'],2,"['Black Gangster Disciples Nation', 'Crips']"
Fallowfield Mandem,Longsight Street Soldiers,,,,1,['Gooch Close Gang'],2,"['Doddington gang', 'Longsight Crew']"
Clan Mazzarella,Sacra Corona Unita,Italy,Italy,True,2,"[""'Ndrangheta"", 'Clan Di Lauro']",1,['Nuova Camorra Organizzata']
American Mafia,Clan Fabbrocino,United States,Italy,False,2,"[""'Ndrangheta"", 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Clan Mazzarella,Sicilian Mafia,Italy,Italy,True,2,"[""'Ndrangheta"", 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Comanchero Motorcycle Club,Mongols MC,Australia,United States,False,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Clan del Golfo,Los Tiguerones,Colombia,Ecuador,False,2,"['Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",1,['Tren de Aragua']
'Ndrina Serraino,Commisso 'ndrina,Italy,Italy,True,2,"[""'Ndrina Alvaro"", ""'Ndrina Piromalli""]",1,"[""'Ndrina De Stefano""]"
Cártel de Tepalcatepec,Sinaloa Cartel,Mexico,Mexico,True,2,"['Cárteles Unidos', 'Los Viagras']",1,['Cártel de Jalisco Nueva Generación']
Aryan Brotherhood,Latin Kings,United States,United States,True,2,"['American Mafia', 'Gambino crime family']",1,['Crips']
'Ndrina Fontana,'Ndrina Serraino,,Italy,,2,"[""'Ndrina Condello"", ""'Ndrina Imerti""]",1,"[""'Ndrina Barreca""]"
Clan Nuvoletta,Contini clan,Italy,Italy,True,2,"['Clan Licciardi', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Gypsy Joker Motorcycle Club,Rock Machine Motorcycle Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Logan Heights Gang,Mongols MC,United States,United States,True,2,"['Mexican Mafia', 'Tijuana Cartel']",1,['Norteños']
Chiapas–Guatemala Cartel,Guerreros Unidos,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
New Zealand Nomads,Para-Dice Riders,New Zealand,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
People Nation,United Blood Nation,United States,United States,True,1,['Bloods'],1,['Crips']
La Nueva Familia Michoacana,Los Talibanes,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Armenian Power,Nazi Lowriders,United States,United States,True,1,['Mexican Mafia'],1,['Mara Salvatrucha']
Clan Russo dei Quartieri Spagnoli,Nuova Camorra Speciale,Italy,,,1,['Clan Mazzarella'],1,['Clan Fabbrocino']
Clan del Golfo,Latin Kings,Colombia,United States,False,1,['Sinaloa Cartel'],1,['Tren de Aragua']
Boko Haram,Hezbollah,Nigeria,Lebanon,False,1,['Al-Qaeda'],1,['Islamic State']
Camorra clan Zaza,Clan Gionta,,Italy,,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Galloping Goose Motorcycle Club,Hell's Henchmen MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Amirante clan,Rinaldi clan,,Italy,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Mongols MC,Road Knights Motorcycle Club,United States,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Mongrel Mob']
Cártel de Tláhuac,La Línea,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Galloping Goose Motorcycle Club,Warlocks Motorcycle Club (Florida),United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Almighty Gaylords Nation,Almighty Saints,United States,United States,True,1,['Latin Kings'],1,['Maniac Latin Disciples']
Gente Nueva,La Empresa,Mexico,Colombia,False,1,['Los Mexicles'],1,['Juárez Cartel']
Logan Heights Gang,White Fence,United States,United States,True,1,['Mexican Mafia'],1,['Norteños']
Merciless Souls Motorcycle Club,Red Devils Motorcycle Club,,Sweden,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Dark Circle,Loners Motorcycle Club,,Canada,,1,['Rock Machine Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Artistas Asesinos,Los Negros,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Clan Licciardi,Sibillo clan,Italy,,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
El Forastero Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Contini clan,Elia clan,Italy,,,1,['Clan Mariano'],1,['Clan Mazzarella']
Clan D'Alessandro,Clan Nuvoletta,Italy,Italy,True,1,['Nuova Famiglia'],1,['Alfieri clan']
Warlocks MC,Warlocks Motorcycle Club (Pennsylvania),,United States,,1,['Philadelphia crime family'],1,['Breed Motorcycle Club']
Artistas Asesinos,La Unión Tepito,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Bandidos Motorcycle Club,Outcasts MC,United States,,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Sibillo clan,Vollaro clan,,Italy,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
New Zealand Nomads,Rock Machine Motorcycle Club,New Zealand,Canada,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan Matrone,Clan dei Casalesi,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Loners Motorcycle Club,Red Devils Motorcycle Club,Canada,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Los Talibanes,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Knights Templar Cartel,La Barredora,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Los Viagras']
Comando Vermelho,National Liberation Army (Colombia),Brazil,Colombia,False,1,['Revolutionary Armed Forces of Colombia'],1,['Tren de Aragua']
856 Gang,Indian Posse,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Massa Carcerária,Os Manos,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Os Manos,Tren de Aragua,Brazil,Venezuela,False,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Milenio Cartel,South Pacific Cartel,Mexico,Mexico,True,1,['Los Zetas'],1,['Gulf Cartel']
Almighty Saints,Dominicans Don't Play,United States,United States,True,1,['Latin Kings'],1,['Latin Kings']
Cannonball Motorcycle Club,Red Devils Motorcycle Club,Finland,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Vietnamese Boyz,Wah Ching,,United States,,1,['Black Dragons'],1,['Asian Boyz']
Amigos dos Amigos,Guardiões do Estado,Brazil,Brazil,True,1,['Bonde dos 40'],1,['Comando Vermelho']
Desperados Motorcycle Club,Galloping Goose Motorcycle Club,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Clan Brunetti,Sibillo clan,,,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Rock Machine Motorcycle Club,Sons of Satan Motorcycle Club,Canada,United States,False,1,"[""Pagan's Motorcycle Club""]",1,['Hells Angels Motorcycle Club']
Los Choneros,Los Rojos,Ecuador,Mexico,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
'Ndrina Facchineri,'Ndrina Tripodo,Italy,,,1,"[""'Ndrina Lo Presti""]",1,"[""'Ndrina Piromalli""]"
Independent Soldiers,New Zealand Nomads,Canada,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Black Dragons,Crips,United States,United States,True,1,['Asian Boyz'],1,['Tiny Rascal Gang']
Fukuhaku-kai,Kyushu Seido-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Dojin-kai']
Cartel de Buga,Cartel de Medellín,Colombia,Colombia,True,1,['Sinaloa Cartel'],1,['Cali Cartel']
Black Mafia,Hells Angels Motorcycle Club,United States,United States,True,1,['Gambino crime family'],1,['Philadelphia crime family']
Annihilators Motorcycle Club,Black Pistons Motorcycle Club,Canada,Germany,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan Galasso di Poggiomarino,Clan Mazzarella,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
La Nueva Familia Michoacana,Los Choneros,Mexico,Ecuador,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Luppino crime family,Outlaws Motorcycle Club,Canada,United States,False,1,['Buffalo crime family'],1,['Hells Angels Motorcycle Club']
Manitoba Warriors,Pagan's Motorcycle Club,Canada,United States,False,1,['Rock Machine Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Autodefensas Unidas de Colombia,Tren de Aragua,Colombia,Venezuela,False,1,"[""'Ndrangheta""]",1,['National Liberation Army (Colombia)']
Alfieri clan,Clan Gallo-Cavalieri,Italy,Italy,True,1,['Nuova Famiglia'],1,['Clan Gionta']
Artistas Asesinos,La Línea,Mexico,Mexico,True,1,['Los Mexicles'],1,['Los Mexicles']
Los Negros,Nazi Lowriders,Mexico,United States,False,1,['Mexican Mafia'],1,['Mara Salvatrucha']
Clan Galasso di Poggiomarino,Sicilian Mafia,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Grupo Flechas,Tijuana Cartel,Mexico,Mexico,True,1,['Los Zetas'],1,['Cártel de Jalisco Nueva Generación']
Bacon Brothers,Redd Alert,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['United Nations (gang)']
Mexican Mafia,Milenio Cartel,United States,Mexico,False,1,['Sinaloa Cartel'],1,['Los Zetas']
Mongrel Mob,Zoe Pound,New Zealand,United States,False,1,['Bloods'],1,['Hells Angels Motorcycle Club']
Culver City Boys,Gulf Cartel,United States,Mexico,False,1,['Mexican Mafia'],1,['18th Street Gang']
Gremium Motorcycle Club,Outlaws Motorcycle Club,Germany,United States,False,1,['Rock Machine Motorcycle Club'],1,['Bandidos Motorcycle Club']
Clan Cava,Clan Serino,Italy,Italy,True,1,['Nuova Famiglia'],1,['Clan Graziano']
Grupo Flechas,Guerreros Unidos,Mexico,Mexico,True,1,['Los Zetas'],1,['Cártel de Jalisco Nueva Generación']
Miri clan,Prisoners of War MC,Germany,,,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Bonde dos 40,Família Terror do Amapá,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Cannonball Motorcycle Club,Satudarah,Finland,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Prisoners of War MC,Red Devils Motorcycle Club,,Sweden,,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Independent Cartel of Acapulco,La Línea,Mexico,Mexico,True,1,['Beltrán-Leyva Organization'],1,['Sinaloa Cartel']
Spanish Gangster Disciples,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],1,['Latin Kings']
Galloping Goose Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
American Mafia,Clan Matrone,United States,Italy,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Bandidos Motorcycle Club,Redd Alert,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['White Boy Posse']
Merciless Souls Motorcycle Club,Sons of Silence,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Guadalajara Cartel,Los Mexicles,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Gulf Cartel']
Diablos Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Cártel de Santa Rosa de Lima,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Cártel de Jalisco Nueva Generación']
People Nation,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],1,['Crips']
