a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
La Mayiza,Los Zetas,,Mexico,,2,"['Grupo Flechas', 'Los Mazatlecos']",3,"['Cártel de Jalisco Nueva Generación', 'Gente Nueva', 'Juárez Cartel']"
18th Street Gang,Venice Shoreline Crips,United States,United States,True,1,['Venice 13'],4,"['Culver City Boys', 'Playboys (gang)', 'Santa Monica 13', 'Venice 13']"
American Mafia,Corleonesi,United States,Italy,False,4,"[""'Ndrangheta"", 'Camorra', 'Greco Mafia clan', 'Sicilian Mafia']",1,['Stidda']
Harrison Gents,Latin Kings,,United States,,1,['Spanish Gangster Disciples'],4,"['Latin Eagles', 'Maniac Latin Disciples', 'Spanish Gangster Disciples', 'Taylor Street Jousters']"
Sacra Corona Unita,Sicilian Mafia,Italy,Italy,True,4,"[""'Ndrangheta"", 'American Mafia', 'Camorra', 'Polverino clan']",1,['Nuova Camorra Organizzata']
Latin Kings,Satan Disciples,United States,,,1,['Spanish Gangster Disciples'],4,"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts', 'Taylor Street Jousters']"
Barrio Azteca,Guerreros Unidos,United States,Mexico,False,3,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Los Zetas']",2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
Beltrán-Leyva Organization,Cártel de Caborca,Mexico,Mexico,True,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']",2,"['Gulf Cartel', 'Sinaloa Cartel']"
Almighty Insane Popes Nation,Maniac Latin Disciples,United States,United States,True,1,['Imperial Gangsters'],4,"['Almighty Black P. Stone Nation', 'Almighty Gaylords Nation', 'Latin Kings', 'Spanish Cobras']"
Bloods,Four Corner Hustlers,United States,United States,True,4,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",1,['Black Gangster Disciples Nation']
Beltrán-Leyva Organization,Los Metros,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'Los Zetas']",3,"['Gulf Cartel', 'Los Rojos', 'Sinaloa Cartel']"
18th Street Gang,Nazi Lowriders,United States,United States,True,1,['Mexican Mafia'],4,"['Bloods', 'Crips', 'Mara Salvatrucha', 'Norteños']"
