id;dia_semana;horario;mortos
174036;Segunda;21:45:00;0
174037;Segunda;19:40:00;0
174038;Segunda;15:20:00;0
174039;Segunda;14:30:00;0
174040;Segunda;17:09:00;0
174042;Segunda;19:30:00;0
174043;Segunda;20:30:00;0
174044;Terça;01:20:00;0
174045;Segunda;18:30:00;0
174046;Segunda;16:40:00;0
174048;Segunda;13:05:00;0
174049;Terça;00:40:00;0
174050;Segunda;15:50:00;0
174051;Segunda;18:30:00;0
174052;Terça;00:00:00;0
174053;Segunda;14:00:00;0
174054;Segunda;15:30:00;0
174055;Segunda;17:00:00;0
174057;Segunda;13:45:00;0
174058;Segunda;15:30:00;0
174060;Segunda;17:45:00;0
174061;Segunda;14:45:00;0
174062;Terça;02:30:00;0
174063;Segunda;17:20:00;0
174064;Terça;02:20:00;0
174065;Segunda;14:25:00;0
174066;Segunda;23:40:00;0
174069;Segunda;18:20:00;0
174071;Segunda;17:10:00;0
174074;Terça;02:30:00;0
174075;Segunda;18:00:00;0
174076;Segunda;12:40:00;0
174077;Terça;01:18:00;0
174079;Segunda;21:00:00;0
174084;Segunda;20:45:00;0
174086;Segunda;15:10:00;0
174099;Segunda;16:40:00;0
174100;Terça;07:00:00;0
174102;Terça;06:30:00;0
174103;Terça;06:50:00;0
174106;Segunda;04:10:00;0
174110;Segunda;17:30:00;0
174113;Terça;07:50:00;0
174115;Segunda;01:00:00;0
174117;Segunda;03:00:00;0
174118;Terça;06:50:00;0
174124;Terça;08:40:00;0
174125;Terça;08:00:00;0
174129;Terça;07:55:00;0
174130;Terça;07:45:00;0
174132;Terça;08:30:00;0
174133;Terça;07:35:00;0
174136;Terça;09:20:00;0
174140;Terça;09:15:00;0
174141;Segunda;16:30:00;2
174143;Terça;08:30:00;0
174147;Terça;09:20:00;0
174148;Terça;04:20:00;1
174151;Terça;09:15:00;0
174152;Terça;09:00:00;0
174154;Terça;10:15:00;0
174155;Terça;09:40:00;0
174158;Terça;07:00:00;0
174161;Terça;08:45:00;0
174165;Terça;10:10:00;0
174169;Terça;08:10:00;0
174170;Terça;08:55:00;0
174172;Terça;07:10:00;0
174174;Terça;10:00:00;0
174176;Terça;06:45:00;0
174180;Terça;10:00:00;0
174183;Terça;10:00:00;0
174186;Terça;08:40:00;0
174187;Terça;12:30:00;0
174189;Terça;10:45:00;0
174192;Terça;11:10:00;0
174193;Terça;11:30:00;0
174194;Terça;09:10:00;0
174198;Terça;08:30:00;0
174200;Terça;10:40:00;0
174201;Terça;10:00:00;0
174202;Terça;11:13:00;0
174203;Terça;11:40:00;0
174205;Terça;12:15:00;0
174206;Terça;08:15:00;0
174211;Terça;10:30:00;0
174213;Segunda;19:00:00;0
174214;Terça;12:40:00;0
174215;Terça;09:50:00;0
174218;Terça;08:00:00;0
174219;Terça;07:40:00;0
174220;Segunda;14:15:00;0
174222;Terça;10:40:00;0
174225;Terça;13:01:00;0
174226;Terça;08:30:00;0
174230;Segunda;16:56:00;0
174231;Terça;10:50:00;0
174237;Terça;09:50:00;0
174238;Terça;09:20:00;0
174241;Segunda;03:20:00;0
174244;Terça;07:30:00;0
174245;Terça;11:00:00;0
174246;Terça;08:38:00;0
174248;Segunda;19:40:00;0
174250;Terça;09:00:00;0
174251;Terça;07:20:00;0
174252;Terça;11:30:00;0
174257;Terça;13:25:00;0
174258;Terça;09:30:00;0
174259;Terça;14:20:00;0
174260;Terça;13:50:00;0
174261;Terça;10:10:00;0
174264;Segunda;17:30:00;0
174266;Terça;08:00:00;0
174267;Terça;14:30:00;0
174268;Terça;10:30:00;0
174269;Terça;12:50:00;0
174270;Terça;10:30:00;0
174271;Terça;13:30:00;0
174272;Terça;10:45:00;0
174273;Segunda;05:40:00;0
174275;Terça;08:30:00;0
174276;Terça;09:00:00;0
174278;Segunda;10:40:00;0
174281;Terça;10:30:00;0
174283;Terça;12:00:00;0
174285;Terça;14:45:00;0
174286;Terça;13:00:00;0
174289;Terça;15:00:00;0
174291;Terça;10:00:00;0
174295;Terça;12:30:00;0
174296;Terça;09:30:00;0
174300;Terça;13:00:00;0
174301;Terça;08:50:00;0
174304;Terça;11:30:00;0
174305;Terça;10:30:00;0
174307;Terça;11:30:00;0
174308;Terça;11:50:00;0
174309;Terça;15:00:00;0
174312;Terça;11:00:00;0
174318;Terça;09:30:00;0
174319;Terça;07:00:00;0
174320;Segunda;10:00:00;0
174321;Terça;11:15:00;0
174322;Terça;16:00:00;0
174324;Terça;10:30:00;0
174325;Terça;15:00:00;0
174328;Terça;14:40:00;0
174330;Terça;14:30:00;0
174331;Terça;14:00:00;0
174332;Terça;12:00:00;0
174335;Terça;15:00:00;0
174336;Terça;07:20:00;0
174337;Terça;14:00:00;0
174338;Terça;15:00:00;0
174339;Terça;09:20:00;0
174340;Terça;12:50:00;0
174342;Terça;12:15:00;0
174348;Terça;15:40:00;0
174349;Terça;17:50:00;0
174350;Terça;16:40:00;0
174351;Segunda;19:40:00;0
174352;Terça;13:40:00;0
174353;Terça;14:50:00;0
174354;Terça;10:10:00;0
174355;Terça;13:25:00;0
174356;Terça;13:40:00;0
174358;Terça;18:15:00;0
174359;Terça;12:15:00;0
174362;Terça;16:00:00;0
174363;Terça;08:50:00;0
174364;Terça;14:30:00;0
174365;Terça;13:20:00;0
174366;Terça;10:20:00;0
174367;Terça;15:45:00;0
174369;Terça;12:25:00;0
174370;Terça;16:00:00;0
174371;Segunda;07:45:00;0
174373;Segunda;03:30:00;0
174374;Terça;13:15:00;0
174376;Terça;15:50:00;0
174377;Terça;11:00:00;0
174378;Terça;14:30:00;0
174379;Terça;13:20:00;0
174381;Terça;18:40:00;0
174382;Terça;09:05:00;0
174383;Terça;16:25:00;0
174384;Terça;18:00:00;0
174385;Terça;14:00:00;0
174386;Terça;14:50:00;0
174387;Terça;18:15:00;0
174388;Terça;05:15:00;0
174389;Terça;16:05:00;0
174390;Terça;15:00:00;0
174391;Terça;17:40:00;0
174393;Terça;16:00:00;0
174395;Terça;18:15:00;0
174398;Terça;07:25:00;0
174401;Terça;11:50:00;0
174402;Terça;15:00:00;0
174404;Terça;14:40:00;0
174405;Terça;13:00:00;0
174406;Terça;16:15:00;0
174407;Segunda;14:10:00;0
174409;Terça;10:00:00;0
174410;Terça;13:50:00;0
174412;Terça;07:15:00;0
174413;Terça;13:45:00;0
174414;Segunda;19:50:00;0
174415;Terça;08:30:00;0
174419;Terça;11:00:00;0
174422;Terça;07:40:00;0
174423;Terça;10:30:00;0
174424;Terça;14:45:00;0
